"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tex14",2.73888415338604e-09,-0.263031104249351,0.026,0.038,9.42011815715595e-05
"Gne",2.75754416860077e-09,0.344550642825055,0.023,0.025,9.4842974134855e-05
"Als2",2.78151427917571e-09,-1.39462195872699,0.005,0.016,9.56674021179694e-05
"Trib1",2.83040856888046e-09,0.260561385545403,0.317,0.27,9.73490723180745e-05
"Zfp955b",2.94865955931994e-09,-0.306762539372945,0.004,0.01,0.00010141619688325
"Glis3",2.95274951304392e-09,-0.605544839162295,0.014,0.027,0.000101556866751633
"Arhgef4",2.96062829751529e-09,0.574863326544575,0.058,0.045,0.000101827849664741
"Ndrg3",2.97560354880314e-09,-0.428136812249883,0.018,0.031,0.000102342908457535
"Rbm41",3.00094958035404e-09,0.338835630946869,0.044,0.044,0.000103214659866697
"Gm11342",3.11794985457636e-09,-0.458267804393059,0.033,0.051,0.000107238767298299
"Alg11",3.21590071393066e-09,-0.446241176942264,0.01,0.019,0.000110607689154931
"B230303A05Rik",3.24534333452474e-09,-0.23050707722739,0.378,0.436,0.000111620338647644
"Zhx3",3.35744250800657e-09,0.124128166023473,0.014,0.019,0.000115475877620378
"Siah1b",3.55157151951592e-09,-1.05255849347971,0.003,0.011,0.000122152750842231
"Edrf1",3.74948999420756e-09,-0.25167175103164,0.049,0.067,0.000128959958860775
"Dnaaf5",3.75091065126928e-09,-1.57391280861046,0.004,0.014,0.000129008820939756
"Lrp1b",3.776649667417e-09,-0.282671305221482,0.009,0.017,0.00012989408866114
"Dynlt1a",3.83795438044794e-09,-0.274192449898667,0.017,0.027,0.000132002602961127
"Tprn",3.87876938497684e-09,-0.460090593656667,0.014,0.025,0.000133406394226893
"Trf",4.01744246281781e-09,-0.363752101181778,0.074,0.102,0.000138175916066156
"Pex16",4.05634119434672e-09,0.135042121884386,0.024,0.03,0.000139513799038361
"Acat2",4.11238102689233e-09,-0.408538932922338,0.004,0.01,0.000141441233038935
