gene_id,MUI_Innsbruck.P11_blood_Neutrophil,MUI_Innsbruck.P12_blood_Neutrophil,MUI_Innsbruck.P12_tumor_Neutrophil,MUI_Innsbruck.P13_blood_Neutrophil,MUI_Innsbruck.P13_tumor_Neutrophil,MUI_Innsbruck.P14_blood_Neutrophil,MUI_Innsbruck.P14_tumor_Neutrophil,MUI_Innsbruck.P15_blood_Neutrophil,MUI_Innsbruck.P15_tumor_Neutrophil,MUI_Innsbruck.P16_blood_Neutrophil,MUI_Innsbruck.P16_tumor_Neutrophil,MUI_Innsbruck.P3_blood_Neutrophil,MUI_Innsbruck.P3_tumor_Neutrophil,MUI_Innsbruck.P4_blood_Neutrophil,MUI_Innsbruck.P4_tumor_Neutrophil,MUI_Innsbruck.P5_blood_Neutrophil,MUI_Innsbruck.P5_tumor_Neutrophil,MUI_Innsbruck.P7_blood_Neutrophil,MUI_Innsbruck.P7_tumor_Neutrophil,MUI_Innsbruck.P8_blood_Neutrophil,MUI_Innsbruck.P8_tumor_Neutrophil,MUI_Innsbruck.P9_blood_Neutrophil,MUI_Innsbruck.P9_tumor_Neutrophil
DENND5A,254.0,1505.0,131.0,1047.0,168.0,998.0,727.0,1405.0,1193.0,1869.0,562.0,1297.0,878.0,1292.0,259.0,3710.0,3160.0,906.0,394.0,843.0,174.0,535.0,745.0
DGAT2,133.0,609.0,55.0,518.0,95.0,518.0,185.0,689.0,401.0,1202.0,358.0,600.0,429.0,736.0,57.0,1066.0,848.0,439.0,147.0,698.0,101.0,341.0,336.0
DGLUCY,54.0,315.0,23.0,649.0,27.0,386.0,70.0,279.0,217.0,911.0,72.0,347.0,166.0,470.0,23.0,483.0,575.0,392.0,38.0,440.0,22.0,345.0,146.0
DHRS7,198.0,948.0,79.0,1082.0,66.0,673.0,71.0,777.0,369.0,2096.0,163.0,682.0,276.0,1096.0,63.0,1485.0,894.0,1015.0,126.0,1141.0,46.0,587.0,212.0
DHX34,71.0,300.0,49.0,366.0,56.0,327.0,184.0,455.0,351.0,862.0,194.0,392.0,382.0,442.0,41.0,714.0,1213.0,256.0,62.0,336.0,39.0,199.0,267.0
DIAPH1,287.0,493.0,75.0,526.0,46.0,354.0,133.0,489.0,402.0,1072.0,152.0,750.0,637.0,484.0,56.0,818.0,1136.0,560.0,113.0,554.0,69.0,214.0,245.0
DICER1,45.0,350.0,23.0,501.0,24.0,218.0,22.0,215.0,224.0,906.0,60.0,414.0,95.0,385.0,19.0,513.0,392.0,463.0,68.0,514.0,32.0,276.0,66.0
DIP2B,119.0,415.0,86.0,490.0,40.0,395.0,278.0,374.0,539.0,933.0,185.0,618.0,652.0,536.0,92.0,643.0,1573.0,453.0,96.0,526.0,71.0,356.0,478.0
DMXL2,37.0,250.0,28.0,276.0,28.0,320.0,235.0,228.0,579.0,639.0,182.0,557.0,371.0,269.0,94.0,1070.0,1537.0,230.0,79.0,363.0,72.0,170.0,238.0
DNAJA1,97.0,983.0,115.0,916.0,133.0,719.0,550.0,643.0,2895.0,1478.0,388.0,937.0,1156.0,829.0,216.0,1976.0,6065.0,648.0,213.0,741.0,150.0,517.0,941.0
DNAJB1,93.0,311.0,32.0,315.0,158.0,293.0,1919.0,652.0,7095.0,745.0,144.0,440.0,1667.0,456.0,324.0,1227.0,40449.0,264.0,35.0,257.0,109.0,204.0,2098.0
DNAJB6,161.0,678.0,41.0,666.0,60.0,517.0,265.0,715.0,1047.0,1262.0,129.0,733.0,552.0,768.0,71.0,1105.0,2543.0,653.0,82.0,486.0,31.0,409.0,342.0
DNAJB9,29.0,453.0,20.0,629.0,15.0,479.0,80.0,373.0,210.0,1395.0,151.0,549.0,184.0,531.0,39.0,771.0,850.0,456.0,61.0,393.0,42.0,298.0,250.0
DNAJC3,94.0,491.0,39.0,505.0,37.0,355.0,141.0,451.0,301.0,1285.0,82.0,610.0,417.0,712.0,69.0,975.0,1112.0,532.0,54.0,527.0,41.0,315.0,237.0
DNM2,149.0,509.0,111.0,533.0,85.0,406.0,532.0,541.0,623.0,939.0,346.0,544.0,844.0,559.0,118.0,704.0,3234.0,361.0,92.0,547.0,68.0,308.0,964.0
DNTTIP2,30.0,302.0,73.0,407.0,108.0,272.0,370.0,455.0,643.0,705.0,341.0,405.0,736.0,513.0,88.0,794.0,2779.0,263.0,169.0,270.0,88.0,151.0,779.0
DOCK11,81.0,533.0,29.0,621.0,34.0,473.0,103.0,441.0,316.0,1110.0,135.0,680.0,277.0,657.0,31.0,888.0,796.0,576.0,85.0,636.0,74.0,337.0,152.0
DOCK2,284.0,850.0,68.0,992.0,92.0,825.0,252.0,957.0,614.0,2123.0,267.0,993.0,445.0,1233.0,102.0,1536.0,1739.0,960.0,215.0,1042.0,131.0,619.0,374.0
DOCK4,463.0,1435.0,367.0,944.0,216.0,1399.0,1681.0,2144.0,2799.0,1948.0,1251.0,1726.0,2167.0,2371.0,605.0,3414.0,6741.0,603.0,504.0,663.0,205.0,685.0,2354.0
DOCK5,447.0,1286.0,176.0,1811.0,135.0,1178.0,440.0,1826.0,1404.0,3181.0,600.0,1915.0,1161.0,1469.0,219.0,2567.0,3915.0,1486.0,435.0,1607.0,187.0,1128.0,1045.0
DOCK8,579.0,1241.0,353.0,2196.0,295.0,1493.0,828.0,1686.0,1647.0,3380.0,715.0,1595.0,1707.0,2178.0,207.0,3003.0,5958.0,1783.0,458.0,2065.0,344.0,1328.0,1528.0
DOK3,392.0,2104.0,118.0,2169.0,109.0,1573.0,205.0,1497.0,946.0,4390.0,328.0,1699.0,442.0,2939.0,196.0,2461.0,2131.0,1554.0,173.0,2269.0,72.0,1272.0,471.0
DPEP2,70.0,349.0,14.0,978.0,29.0,349.0,27.0,302.0,127.0,894.0,24.0,419.0,96.0,424.0,22.0,474.0,292.0,623.0,52.0,797.0,20.0,468.0,70.0
DPYD,352.0,816.0,185.0,1227.0,117.0,1169.0,566.0,1001.0,1364.0,2206.0,452.0,1339.0,1192.0,1291.0,112.0,1349.0,2348.0,967.0,207.0,1353.0,170.0,782.0,638.0
DSC2,42.0,309.0,25.0,185.0,13.0,544.0,61.0,174.0,114.0,647.0,64.0,596.0,158.0,334.0,21.0,736.0,395.0,223.0,47.0,830.0,42.0,237.0,70.0
DSE,18.0,98.0,54.0,98.0,33.0,68.0,361.0,173.0,714.0,166.0,214.0,139.0,379.0,116.0,117.0,444.0,2014.0,84.0,78.0,116.0,78.0,94.0,569.0
DUSP1,821.0,7638.0,467.0,9396.0,634.0,9892.0,1643.0,8803.0,5263.0,27690.0,3417.0,6718.0,3088.0,9005.0,641.0,18076.0,12594.0,6693.0,869.0,5927.0,615.0,3094.0,2576.0
DUSP2,19.0,327.0,25.0,60.0,44.0,79.0,325.0,179.0,471.0,124.0,319.0,78.0,350.0,69.0,129.0,1385.0,879.0,40.0,122.0,41.0,60.0,25.0,588.0
DUSP6,425.0,224.0,50.0,857.0,151.0,313.0,154.0,1403.0,697.0,1265.0,282.0,915.0,621.0,363.0,100.0,820.0,2156.0,636.0,165.0,849.0,86.0,417.0,225.0
DYNC1LI1,29.0,186.0,20.0,491.0,18.0,199.0,50.0,212.0,160.0,607.0,60.0,300.0,160.0,238.0,15.0,397.0,390.0,436.0,28.0,302.0,15.0,165.0,67.0
DYRK1A,185.0,464.0,60.0,534.0,35.0,420.0,162.0,538.0,508.0,981.0,104.0,839.0,310.0,590.0,84.0,762.0,1003.0,458.0,93.0,507.0,50.0,312.0,235.0
DYSF,357.0,1341.0,177.0,724.0,63.0,968.0,201.0,992.0,681.0,1897.0,303.0,816.0,552.0,2103.0,137.0,1764.0,2097.0,700.0,129.0,1041.0,107.0,629.0,362.0
E2F3,61.0,290.0,34.0,443.0,16.0,226.0,80.0,188.0,225.0,692.0,96.0,356.0,144.0,375.0,70.0,550.0,587.0,323.0,77.0,391.0,32.0,288.0,141.0
EAPP,90.0,767.0,21.0,832.0,31.0,736.0,39.0,596.0,94.0,1723.0,42.0,708.0,110.0,788.0,19.0,1056.0,358.0,697.0,26.0,728.0,13.0,530.0,52.0
ECE1,260.0,1458.0,79.0,961.0,101.0,740.0,348.0,1278.0,768.0,1803.0,395.0,822.0,490.0,1117.0,113.0,2516.0,1596.0,497.0,129.0,831.0,65.0,410.0,512.0
ECHDC1,53.0,196.0,222.0,388.0,244.0,126.0,329.0,138.0,712.0,713.0,1428.0,262.0,1297.0,150.0,54.0,211.0,1734.0,126.0,274.0,281.0,469.0,174.0,1474.0
