"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Unc45a",7.00162898832004e-38,-1.25462243526493,0.042,0.035,2.40814027424279e-33
"Gm49668",7.23588587551578e-38,0.992042831566823,0.049,0.011,2.4887105880249e-33
"Gm26577",7.2950742018645e-38,-0.183661824562821,0.062,0.037,2.50906782098928e-33
"Zfp930",7.43083482408272e-38,6.69955609525702,0.037,0,2.55576132939501e-33
"Spata5",8.78818003335783e-38,1.70740678597335,0.052,0.007,3.02260664067309e-33
"Gm49599",8.88416099256327e-38,-0.675331805732985,0.068,0.051,3.05561833178221e-33
"Trmt12",9.29660152684096e-38,-0.501073603608242,0.049,0.028,3.19747312914168e-33
"Tbl3",9.50540324456127e-38,3.84800381248583,0.038,0.001,3.2692883919344e-33
"Zc3h8",9.75570032441707e-38,5.02990906079778,0.039,0.001,3.35537556958001e-33
"Fhit",1.05089173808648e-37,-0.191505458141409,0.057,0.027,3.61443704397463e-33
"Gm37401",1.15730436801184e-37,0.436241082014006,0.049,0.014,3.98043264333991e-33
"Armc3",1.18824251133934e-37,-0.358919907245203,0.06,0.035,4.08684129350054e-33
"4732471J01Rik",1.19727221010403e-37,0.397881425015578,0.058,0.022,4.11789803943179e-33
"Cmtm4",1.28336229503428e-37,3.76261360414105,0.035,0.001,4.41399627754092e-33
"Parp12",1.32404173593211e-37,-1.18076670318089,0.043,0.036,4.5539091465649e-33
"Mlh3",1.4249832916139e-37,2.13806954451715,0.047,0.005,4.90108753317684e-33
"Ralgps2",1.52490974443861e-37,1.79289779965726,0.049,0.006,5.24477457502215e-33
"Kctd1",1.68322115798788e-37,4.12751451448592,0.042,0.001,5.78927085078352e-33
"Tbcd",1.69362649367591e-37,0.808994820881119,0.068,0.019,5.82505896234893e-33
"Chchd4",1.87885127697012e-37,0.836949821425077,0.044,0.009,6.46212108201104e-33
"Lmln",2.05677193342463e-37,2.50459834481616,0.045,0.003,7.07406138782067e-33
"Eml5",2.31378593425103e-37,1.91144923834443,0.061,0.009,7.95803534226299e-33
"4732496C06Rik",2.35277497611387e-37,0.491569156260698,0.054,0.019,8.09213425284605e-33
"Kdm5d",2.38705956610776e-37,-1.05431470638226,0.046,0.036,8.21005267167104e-33
"Cpped1",2.4489240225957e-37,0.51233306951099,0.055,0.019,8.42282928331564e-33
"B3galnt2",2.54204101180916e-37,-0.29875222429999,0.045,0.02,8.74309585601642e-33
"Ddx56",3.2911709864903e-37,8.04591499608638,0.035,0,1.13196534909347e-32
"1700028E10Rik",3.66946083583071e-37,1.59989460518008,0.05,0.008,1.26207435987561e-32
"D330023K18Rik",4.06909918576714e-37,-1.21424114679241,0.049,0.047,1.39952597395275e-32
"Ssc4d",4.08539303290929e-37,-0.4331242735509,0.052,0.031,1.40513007973882e-32
"Fbxo17",4.11746324729965e-37,0.533260511234812,0.066,0.025,1.41616030927624e-32
"9130230N09Rik",4.85123250067788e-37,0.482384202433671,0.046,0.016,1.66853290628315e-32
"M1ap",5.26221293040437e-37,3.65434912083499,0.038,0.001,1.80988551528328e-32
"Snhg12",5.5385055100398e-37,1.03206327035658,0.048,0.008,1.90491358512309e-32
"Utp14b",5.94806843544285e-37,1.52517137128843,0.046,0.007,2.04577865768621e-32
"Mpv17l",5.97307805205919e-37,0.36168110219099,0.057,0.02,2.05438046522524e-32
"Fancc",5.99311258297239e-37,1.86995746863931,0.05,0.006,2.06127114178753e-32
"Fdx1",6.55003884970213e-37,9.58989340969075,0.032,0,2.25282036196655e-32
"Wdr45",6.82060585219936e-37,-1.55968695982612,0.044,0.051,2.34587917680545e-32
"Mob3c",6.93328165137467e-37,-0.991363697591591,0.044,0.031,2.3846328911738e-32
"A830012C17Rik",7.66678244962091e-37,0.705971151056345,0.063,0.02,2.63691315572261e-32
"Rpp14",8.479872954213e-37,6.73978621877395,0.036,0,2.91656750387202e-32
"Gm46224",9.11605515851634e-37,-0.979930836969964,0.042,0.03,3.13537601122011e-32
"Mical2",9.28909541924352e-37,2.87603395989712,0.043,0.003,3.19489147849462e-32
"Fktn",9.89387172152102e-37,1.79303688496529,0.056,0.008,3.40289823989994e-32
"Cfap77",1.09044855847261e-36,-0.413429312465635,0.04,0.022,3.75048877201071e-32
"Hsf1",1.14182459036084e-36,2.11126686547303,0.042,0.004,3.92719149608707e-32
"Lyz1",1.17854771891669e-36,0.35095425529548,0.058,0.022,4.05349702444205e-32
"Ercc2",1.239930213451e-36,1.42833707418185,0.05,0.009,4.26461597614338e-32
"Gm21811",1.34939493273612e-36,0.780358784892184,0.054,0.015,4.6411089316526e-32
"Gm48377",1.35411178800575e-36,5.58874739282509,0.035,0,4.65733208366699e-32
"Synj2",1.51537348176519e-36,1.21578675123092,0.048,0.008,5.21197555318319e-32
"Tcea1-ps1",1.66217283823705e-36,1.63907774944804,0.044,0.006,5.71687725983252e-32
"Acot1",1.88973748211355e-36,-0.932475678661792,0.049,0.035,6.49956309598135e-32
"Zfp113",1.9213084213903e-36,2.86503364293223,0.046,0.003,6.60814818452978e-32
"Tsga10",2.01320496460841e-36,-0.431224975044582,0.05,0.026,6.92421715527416e-32
"Ccdc180",2.11341920345134e-36,-3.86581651932972,0.015,0.086,7.26889400835052e-32
"Inpp5j",2.12279666582524e-36,0.849292876221521,0.048,0.012,7.30114685243932e-32
"AW112010",2.2003279294025e-36,2.26853923561055,0.04,0.003,7.56780788038696e-32
"Evi5l",2.79436363306814e-36,-0.682786793446452,0.045,0.03,9.61093427957455e-32
"Irf7",2.82318138946493e-36,-3.25749903638789,0.021,0.086,9.71005007092568e-32
"H2bc14",3.0036712868675e-36,8.30855639195754,0.034,0,1.03308270240521e-31
"Crem",3.02456623049266e-36,-0.773074191633326,0.052,0.036,1.04026930931565e-31
"Tsr3",3.1819800045218e-36,0.304172859127564,0.049,0.017,1.09441020275523e-31
"Rsph1",3.72949273186735e-36,0.748659429670611,0.05,0.013,1.28272173019846e-31
"Gm7964",3.88101218456884e-36,1.23657585721241,0.044,0.008,1.33483533076061e-31
"Slc25a14",3.91989269189321e-36,-0.1260278703644,0.044,0.017,1.34820789244975e-31
"Vezt",4.07493745503447e-36,1.60589709917856,0.048,0.007,1.40153398828455e-31
"Dmwd",4.27598475706434e-36,-8.95147671197151,0,0.075,1.47068219734471e-31
"Pecam1",4.34822484822059e-36,-1.14450680906138,0.044,0.038,1.49552845429699e-31
"Gm26692",4.3901341906101e-36,3.34407476798271,0.049,0.003,1.50994275351844e-31
"Frmd6",4.58405344118831e-36,2.1469268819309,0.045,0.005,1.57663934056231e-31
"Cc2d1a",4.63841279217887e-36,1.0756308185728,0.051,0.011,1.595335695742e-31
"Gm34589",4.75475585221963e-36,-1.92593649353272,0.044,0.083,1.63535072781242e-31
"Lrrc45",5.39008522798478e-36,2.20801494336324,0.044,0.004,1.85386591331309e-31
"Rasal2",5.57832151525276e-36,2.75106467643229,0.04,0.002,1.91860790195603e-31
"Elmod3",6.01742530895117e-36,0.423260271213897,0.05,0.014,2.06963326076067e-31
"Wdr47",6.47635514273314e-36,0.810909835344876,0.054,0.013,2.22747758779164e-31
"Gm44067",6.69941925580028e-36,0.914711083120308,0.058,0.014,2.30419825883995e-31
"Gpr89",6.84767427804084e-36,2.04899787463849,0.045,0.005,2.35518909118937e-31
"Wdr46",6.85234254554163e-36,7.20906943994184,0.035,0,2.35679469511359e-31
"Kctd11",8.01742229166637e-36,-0.444164978181257,0.047,0.024,2.75751222299573e-31
"2700097O09Rik",8.04369776064134e-36,1.96585976832033,0.051,0.007,2.76654940779498e-31
"Tmem150b",8.17368250920084e-36,1.9659636861679,0.045,0.005,2.81125636221454e-31
"Gm13436",8.26666712341217e-36,2.25726898385526,0.04,0.004,2.84323749042638e-31
"Ptcd1",8.3265889345772e-36,0.146245884457298,0.054,0.021,2.86384699815848e-31
"Nek8",9.88150018694204e-36,1.41455122442902,0.043,0.006,3.39864317429685e-31
"Osbpl1a",1.02208809050226e-35,1.88116657686028,0.043,0.005,3.51536977847347e-31
"Cd244a",1.03252118456459e-35,-4.50810565716878,0.01,0.083,3.55125336219144e-31
"Tmem198b",1.08513903450532e-35,0.378773224047344,0.05,0.016,3.73222719527759e-31
"Homer1",1.08602861794773e-35,0.297373731490695,0.068,0.029,3.73528682856941e-31
"Peak1",1.14590031357656e-35,-1.78364712819984,0.037,0.046,3.94120953851523e-31
"Pabpn1",1.18150564607949e-35,0.972673446833896,0.054,0.012,4.06367051912579e-31
"Ninj1",1.2347457765934e-35,-2.51760892522965,0.028,0.048,4.24678462401533e-31
"Znhit2",1.35013119355139e-35,0.317967446869328,0.053,0.018,4.64364122710065e-31
"F730035M05Rik",1.3655281351843e-35,-0.408806523037414,0.051,0.03,4.69659746815288e-31
"Ptrh2",1.39219403416232e-35,2.05720007330224,0.042,0.004,4.7883121610979e-31
"Drosha",1.40763764860929e-35,3.51182063565148,0.04,0.002,4.84142892862679e-31
"A630072M18Rik",1.48111581718552e-35,-0.427250994685485,0.047,0.025,5.09414974162788e-31
"Xaf1",1.49908944770289e-35,-8.99787170446846,0,0.074,5.15596824642931e-31
"4931414P19Rik",1.6479806546661e-35,1.02655412003539,0.048,0.01,5.66806466365858e-31
"Gm807",1.67227730381204e-35,1.37038651485895,0.044,0.008,5.75163055873112e-31
"Dync2h1",1.81966814601941e-35,-0.259086237809492,0.053,0.028,6.25856662141916e-31
"Pwwp2b",1.83969078578642e-35,0.325652941202082,0.049,0.015,6.32743248863383e-31
"Gm26871",1.92510986800737e-35,1.91506445245548,0.039,0.004,6.62122288002456e-31
"Olfm4",2.08645482603848e-35,-1.02880627814889,0.079,0.091,7.17615272867673e-31
"Rpusd1",2.26514741740458e-35,2.59448999506333,0.045,0.004,7.79074802742132e-31
"Zfp157",2.31355206200007e-35,0.375843280029013,0.052,0.018,7.95723096204305e-31
"Letmd1",2.49052135168275e-35,1.41131195651594,0.041,0.006,8.56589913697764e-31
"E230032D23Rik",2.72039020446969e-35,0.668865263017484,0.049,0.011,9.35651006925306e-31
