"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Osm",1.61713440035611e-05,-0.291463153112653,0.189,0.221,0.556197205658481
"Tle3",1.6206874497017e-05,-0.119423685827433,0.347,0.359,0.557419241450402
"Pgk1",1.65410125591978e-05,-0.171822910860768,0.322,0.345,0.56891158596105
"Csad",1.6940832342373e-05,-0.718373782091922,0.034,0.049,0.582662987583577
"Atrx",1.7154466398852e-05,0.234624067131705,0.298,0.253,0.590010717322114
"Hipk1",1.75469833792806e-05,0.123964933979781,0.446,0.401,0.603510946346976
"Wbp1l",1.78730630433631e-05,-0.288313555903057,0.185,0.213,0.614726130313432
"Ing1",1.78868647514347e-05,-0.19256139212101,0.332,0.365,0.615200826260845
"Ifit3b",1.88913949076523e-05,-0.696375688471222,0.038,0.058,0.649750636453792
"Ctnnb1",1.90981082967859e-05,-0.174872729701667,0.338,0.365,0.656860336759654
"Arap1",1.91660891944185e-05,0.243521853858123,0.261,0.219,0.65919847175283
"Itga5",1.92002800857841e-05,0.266390263622264,0.171,0.138,0.660374433270458
"Chchd2",1.95875258283545e-05,0.160758574016896,0.379,0.333,0.673693363340424
"Entpd3",1.96401896212949e-05,0.376390094701062,0.156,0.122,0.675504681834818
"Soat2",1.97343492306573e-05,0.13877763813086,0.153,0.129,0.678743207439228
"Gm12185",2.00144514406974e-05,-0.187878529698016,0.247,0.265,0.688377042851347
"Mtus1",2.02323380499829e-05,-0.115345524771645,0.423,0.439,0.695871034891112
"Blmh",2.08134306384399e-05,1.39764283106509,0.016,0.006,0.715857133378501
"Ddit4",2.12541378397619e-05,0.721228996486282,0.046,0.027,0.73101481686077
"Cflar",2.14011849188234e-05,0.191516764911035,0.316,0.272,0.736072354098014
"Slco4c1",2.21773444456353e-05,0.354254778911781,0.112,0.084,0.762767584863182
"Rps2",2.23401130795619e-05,0.356345614644912,0.146,0.113,0.768365849258453
"Nckap1l",2.264186829366e-05,0.139124210550822,0.326,0.285,0.778744418092142
"Anp32a",2.26657047878262e-05,0.105104374006149,0.569,0.521,0.779564250472494
"Serf2",2.27137603807904e-05,-0.205872802882715,0.277,0.306,0.781217074536906
"E330011O21Rik",2.27598632309354e-05,-1.40580289859922,0.006,0.016,0.782802735964792
"Adcy7",2.28396440982018e-05,0.99142858230995,0.031,0.016,0.785546719113552
"Asxl1",2.28980884518127e-05,0.173431922588633,0.341,0.297,0.787556854211647
"Arhgap15",2.2909563541512e-05,-0.167671113318626,0.43,0.47,0.787951528446765
"Arhgap30",2.34737560527837e-05,0.135684618880879,0.495,0.447,0.807356365679442
"Rap1a",2.40617387583111e-05,0.259946375363576,0.278,0.236,0.827579442853351
"Gm29128",2.48615124266218e-05,1.23061288742134,0.018,0.007,0.855086858401232
"Bcl3",2.5578054682835e-05,-0.308224025735875,0.185,0.219,0.879731612761427
"Wasf2",2.55943179228153e-05,0.103723324806015,0.401,0.362,0.88029097063731
"Relt",2.64776317314794e-05,0.15345888966223,0.351,0.308,0.910671665772502
"Larp1",2.77315846651959e-05,0.742884200682843,0.05,0.033,0.953800122974749
"Stfa1",2.78951689086419e-05,0.910721907610994,0.038,0.022,0.959426439443829
"Bid",2.83415777674211e-05,-0.414662744462623,0.097,0.127,0.974780225732683
"Srsf5",2.83669332819018e-05,0.110737233798099,0.462,0.418,0.975652303297731
"Trim25",2.84266727393552e-05,-0.239884692049964,0.255,0.285,0.977706982197384
"Pdcd2l",2.85378906466663e-05,-0.659369257697165,0.042,0.063,0.981532210901439
"Acrbp",2.89253311787887e-05,-0.70518133655499,0.032,0.048,0.994857840563257
"Anapc5",2.95658708383708e-05,0.791447038626862,0.043,0.026,1
"Dipk1a",2.98802822941443e-05,0.877316898468955,0.041,0.024,1
"Ccdc146",3.03243878490045e-05,-0.723433075057764,0.032,0.05,1
"Stfa2",3.10748471644713e-05,0.69043869700591,0.049,0.03,1
"Edem1",3.25141253529861e-05,0.187522699677174,0.223,0.188,1
"Tab2",3.28301932409773e-05,0.102240040888613,0.509,0.465,1
"Ap1s2",3.48678348175983e-05,0.180907311394012,0.266,0.228,1
"Zc3h12a",3.75386314296464e-05,-0.271366314743578,0.104,0.115,1
"Crebbp",3.79613295299706e-05,0.212170216011015,0.3,0.257,1
"Tuba1a",3.91189812118848e-05,0.167983739363077,0.236,0.202,1
"Kri1",3.95319722113228e-05,-0.662647142059783,0.031,0.05,1
"Nedd4",3.96245250814228e-05,-0.811398572161306,0.021,0.037,1
"Ccdc88a",4.05962618025642e-05,1.24065512097149,0.022,0.011,1
"Yeats4",4.09060608383837e-05,0.462105473545154,0.099,0.073,1
"Naca",4.10781331909359e-05,0.819222274088195,0.04,0.023,1
"Tmem132b",4.12657214611912e-05,-0.930600987010267,0.011,0.022,1
"Adam10",4.20613141925952e-05,0.260304612232405,0.175,0.141,1
"Bmpr1a",4.22248755471218e-05,-0.521165963453774,0.057,0.074,1
"Tnrc6b",4.26523745314524e-05,-0.105841688812731,0.396,0.407,1
"Adssl1",4.27469426472555e-05,-0.451539454484801,0.08,0.107,1
"Unc93b1",4.28281215625822e-05,0.151496793297945,0.524,0.478,1
"Map3k5",4.30333305294252e-05,-0.132334369916955,0.414,0.435,1
"Ifngr1",4.34398842749135e-05,0.176639305592861,0.369,0.323,1
"Cdkl3",4.40897028249807e-05,-0.725496078197686,0.031,0.047,1
"Arhgap17",4.44523687695924e-05,-0.341485181052492,0.138,0.164,1
"Sav1",4.54138554358827e-05,0.347490607550765,0.127,0.097,1
"Cass4",4.61911721108678e-05,0.164932862162518,0.299,0.26,1
"Ly6e",4.65150682479641e-05,0.123405373323165,0.639,0.596,1
"Arid4b",4.79704805646734e-05,0.11742953859614,0.368,0.33,1
"Ikzf1",4.87556557258507e-05,0.138501266963442,0.448,0.403,1
"Wdfy4",4.93683618297528e-05,0.209765784318317,0.234,0.197,1
"Tm6sf1",4.96077338623711e-05,-0.197466183332811,0.197,0.212,1
"Ttc7",5.01672030654029e-05,-0.125130398493711,0.454,0.475,1
"Tgfbr1",5.07069004990558e-05,0.217646276412967,0.11,0.088,1
"Rab2a",5.08490267323554e-05,0.134668726435685,0.351,0.311,1
"Gdi1",5.1087635742371e-05,-0.167543135912668,0.341,0.367,1
"1600022D10Rik",5.19793647771601e-05,-1.29526947895575,0.007,0.017,1
"Inpp5d",5.27727626671107e-05,0.13981028857579,0.346,0.306,1
"Ppp1r16b",5.28441325448708e-05,-0.920469671610953,0.015,0.029,1
"Pacs1",5.28871791579685e-05,-0.134144232279735,0.332,0.345,1
"Lsm5",5.32350403724849e-05,1.34051939486132,0.018,0.007,1
"Atp6ap1",5.33501665971279e-05,0.114550622872538,0.352,0.315,1
"Cyld",5.36517346186333e-05,0.332670025344362,0.151,0.119,1
"Rbbp8",5.36594845219426e-05,0.821599193462627,0.04,0.025,1
"Capza2",5.4805398958673e-05,0.176337009299974,0.384,0.339,1
"Pip4k2a",5.55579156148045e-05,0.110083343698971,0.482,0.439,1
"Me2",5.75836681260962e-05,0.921756512165262,0.031,0.016,1
"Eps15l1",5.77184726008608e-05,0.546355744071358,0.069,0.047,1
"Rpl19",5.78225578158624e-05,0.978858319694056,0.03,0.016,1
"Cdc40",5.85873655204356e-05,0.255664137920044,0.107,0.083,1
"Rock2",5.87128852763623e-05,0.294673420528401,0.188,0.153,1
"Rnf149",6.00866180683961e-05,-0.237727162633766,0.232,0.263,1
"Tmed8",6.29828695559992e-05,-0.657597163965944,0.039,0.055,1
"Atf3",6.35320574908221e-05,-0.640226416933714,0.037,0.056,1
"Prelid1",6.43804699576424e-05,0.191231035318586,0.3,0.259,1
"Gm27007",6.4699348978628e-05,-1.12461858749899,0.011,0.022,1
"Gm31683",6.54983224623135e-05,-0.513926097237849,0.061,0.084,1
"Nuak2",6.55386390621262e-05,0.348702411082066,0.137,0.107,1
"Atxn7l1",6.62334933209192e-05,0.184233960463086,0.303,0.262,1
"Rab11b",6.77732284400037e-05,0.132223075483238,0.373,0.333,1
"Slc27a4",6.86913497990519e-05,-0.420687381202079,0.096,0.123,1
"Ndufa1",6.93672328856025e-05,0.385929408946833,0.134,0.105,1
"Anp32e",7.01289607586497e-05,1.03942139077993,0.022,0.01,1
"Elmo2",7.04824249782929e-05,0.806761460216027,0.034,0.019,1
"6430548M08Rik",7.13658242367325e-05,0.133459829953964,0.349,0.31,1
"Pi16",7.37025569835182e-05,0.128996142768228,0.364,0.324,1
"Serinc3",7.5661634279423e-05,0.103469460349249,0.597,0.551,1
"Gpx1",7.67579438016265e-05,0.108126145730645,0.638,0.593,1
"Bst1",7.74266011699899e-05,0.114098258462089,0.404,0.365,1
"Rp9",7.76199218530924e-05,-0.312479446722169,0.149,0.178,1
"Snrpd2",7.86351428280061e-05,1.83056815061614,0.013,0.005,1
