"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pcm1",1.84168117968174e-68,1.66122623325904,0.531,0.111,6.33427824939738e-64
"Atp5md",2.01130270300174e-68,0.453007112354762,0.427,0.157,6.91767451670417e-64
"Mrps14",2.07137636432787e-68,1.02227692778126,0.458,0.128,7.12429186746927e-64
"Vps54",2.08196715431005e-68,-0.377551524648127,0.584,0.422,7.16071783053399e-64
"Snap23",2.13755618727278e-68,-1.41420043705543,0.336,0.386,7.35191075050601e-64
"Fnip1",2.22810221622967e-68,0.450120533481182,0.668,0.306,7.66333476250031e-64
"Ythdc1",2.38536886148022e-68,-0.15253903315122,0.473,0.26,8.20423766217508e-64
"Dnajc3",2.54104059788246e-68,0.724353687030176,0.595,0.223,8.73965503235694e-64
"Klhl9",2.54217347345635e-68,-0.554392967580728,0.462,0.332,8.74355144460578e-64
"Agpat1",2.64834409751817e-68,-0.215958539357707,0.45,0.253,9.10871468900401e-64
"Ppig",2.80238047143365e-68,0.502515349192053,0.821,0.406,9.6385073934489e-64
"Pitpnc1",2.80335297077483e-68,-0.474396728238377,0.534,0.376,9.64185220768297e-64
"Cul1",2.99150030215527e-68,1.18978547604771,0.519,0.132,1.02889661392328e-63
"Ift80",3.00566760511135e-68,2.91646555937026,0.378,0.028,1.033769316102e-63
"Srp72",3.08265568878711e-68,0.117807984636253,0.496,0.246,1.06024859760144e-63
"Cdipt",3.21574047542913e-68,-0.172866960966423,0.481,0.274,1.1060217791191e-63
"Phip",3.23681792205047e-68,0.461067452343986,0.603,0.257,1.11327115611004e-63
"Mapk1",3.23799215152264e-68,0.613126781094427,0.668,0.282,1.1136750205947e-63
"Notch2",3.27729617296264e-68,-1.40534161827877,0.378,0.452,1.12719324572877e-63
"Csnk1a1",3.5222570303326e-68,0.181990215346239,0.794,0.467,1.2114450830126e-63
"Pik3r1",3.79476004469844e-68,0.190414196227953,0.58,0.292,1.30516976977358e-63
"Eif3k",4.0743621348048e-68,0.603616961412738,0.466,0.163,1.40133611264476e-63
"Cst3",4.49973182385033e-68,-0.470740221920419,0.92,0.836,1.54763776349508e-63
"Syf2",4.55444874540673e-68,-0.890804461076364,0.389,0.331,1.56645710149519e-63
"Actn4",4.66088378913724e-68,1.09767154972547,0.943,0.409,1.60306437043586e-63
"Dennd4b",4.68548662185456e-68,-0.424666781472562,0.424,0.269,1.61152626872066e-63
"Orm1",4.75007015369245e-68,0.976643876783478,0.519,0.153,1.63373912866098e-63
"Stat5b",4.92234393180701e-68,-0.584692687170386,0.496,0.362,1.6929909719057e-63
"Ralbp1",5.32268389855141e-68,-0.289424868793167,0.626,0.433,1.83068390006777e-63
"Elf2",5.80449658596562e-68,0.604472868486621,0.63,0.254,1.99639855577702e-63
"Rasgrp2",6.31956423131005e-68,0.356661294795345,0.611,0.282,2.17355092171678e-63
"Phyh",6.46276007480374e-68,-1.00631597262266,0.397,0.376,2.222801700128e-63
"Ndufb1-ps",6.69219659092614e-68,0.200751561160605,0.84,0.497,2.30171409548314e-63
"Amfr",7.54995882831201e-68,-0.656998599325144,0.427,0.312,2.59673283940963e-63
"Kif3b",7.96386794458729e-68,-0.441310245910405,0.523,0.38,2.73909274086135e-63
"Gpc1",8.05125234366727e-68,1.24232032000317,0.447,0.107,2.76914773108092e-63
"Pnrc1",8.21516292445783e-68,-1.58176134819232,0.324,0.416,2.82552313623803e-63
"Cnpy3",8.75355946923183e-68,0.95918276832499,0.462,0.127,3.0106992438476e-63
